,3G SPECIAL SITUATIONS FUND IV SUB/RED,ibov
,PX_LAST,PX_LAST
Date,,
2015-12-31,1466.99,43350.0
2015-12-31,1466.99,43350.0
2016-01-01,,43350.0
2016-01-01,,43350.0
2016-01-04,1466.99,42141.0
2016-01-04,1466.99,42141.0
2016-01-05,,42419.3
2016-01-05,,42419.3
2016-01-06,,41773.1
2016-01-06,,41773.1
2016-01-07,,40694.7
2016-01-07,,40694.7
2016-01-08,,40612.2
2016-01-08,,40612.2
2016-01-11,,39950.5
2016-01-11,,39950.5
2016-01-12,,39513.8
2016-01-12,,39513.8
2016-01-13,,38944.4
2016-01-13,,38944.4
2016-01-14,,39500.1
2016-01-14,,39500.1
2016-01-15,,38569.1
2016-01-15,,38569.1
2016-01-18,,37937.3
2016-01-18,,37937.3
2016-01-19,,38057.0
2016-01-19,,38057.0
2016-01-20,,37645.5
2016-01-20,,37645.5
2016-01-21,,37717.1
2016-01-21,,37717.1
2016-01-22,,38031.2
2016-01-22,,38031.2
2016-01-25,,38031.2
2016-01-25,,38031.2
2016-01-26,,37497.5
2016-01-26,,37497.5
2016-01-27,,38376.4
2016-01-27,,38376.4
2016-01-28,,38630.2
2016-01-28,,38630.2
2016-01-29,1466.986962,40406.0
2016-01-29,1466.986962,40406.0
2016-02-01,,40570.0
2016-02-01,,40570.0
2016-02-02,,38596.2
2016-02-02,,38596.2
2016-02-03,,39588.8
2016-02-03,,39588.8
2016-02-04,,40821.7
2016-02-04,,40821.7
2016-02-05,,40592.1
2016-02-05,,40592.1
2016-02-08,,40592.1
2016-02-08,,40592.1
2016-02-09,,40592.1
2016-02-09,,40592.1
2016-02-10,,40376.6
2016-02-10,,40376.6
2016-02-11,,39318.3
2016-02-11,,39318.3
2016-02-12,,39808.0
2016-02-12,,39808.0
2016-02-15,,40092.9
2016-02-15,,40092.9
2016-02-16,,40947.7
2016-02-16,,40947.7
2016-02-17,,41630.8
2016-02-17,,41630.8
2016-02-18,,41477.6
2016-02-18,,41477.6
2016-02-19,,41543.4
2016-02-19,,41543.4
2016-02-22,,43234.9
2016-02-22,,43234.9
2016-02-23,,42520.9
2016-02-23,,42520.9
2016-02-24,,42084.6
2016-02-24,,42084.6
2016-02-25,,41887.9
2016-02-25,,41887.9
2016-02-26,,41593.1
2016-02-26,,41593.1
2016-02-29,1466.98696,42793.9
2016-02-29,1466.98696,42793.9
2016-03-01,,44121.8
2016-03-01,,44121.8
2016-03-02,,44893.5
2016-03-02,,44893.5
2016-03-03,,47193.4
2016-03-03,,47193.4
2016-03-04,,49084.9
2016-03-04,,49084.9
2016-03-07,,49246.1
2016-03-07,,49246.1
2016-03-08,,49102.1
2016-03-08,,49102.1
2016-03-09,,48665.1
2016-03-09,,48665.1
2016-03-10,,49571.1
2016-03-10,,49571.1
2016-03-11,,49638.7
2016-03-11,,49638.7
2016-03-14,,48867.3
2016-03-14,,48867.3
2016-03-15,,47130.0
2016-03-15,,47130.0
2016-03-16,,47763.4
2016-03-16,,47763.4
2016-03-17,,50913.8
2016-03-17,,50913.8
2016-03-18,,50814.7
2016-03-18,,50814.7
2016-03-21,,51171.5
2016-03-21,,51171.5
