,CRY Index,JPEIGLSP Index,BRL Curncy,CAD Curncy,AUD Curncy,DXY Index
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
Date,,,,,,
2011-09-30,298.15,464.96,1.8793,1.0503,0.9662,78.553
2011-10-31,319.84,391.73,1.7157,1.0008,1.053,76.166
2011-11-30,313.82,413.25,1.8085,1.0174,1.0283,78.384
2011-12-30,305.3,426.34,1.8668,1.0213,1.0209,80.178
2012-01-31,312.31,412.23,1.7468,1.0026,1.0621,79.288
2012-02-29,322.43,356.77,1.7174,0.9899,1.0732,78.737
2012-03-30,308.46,341.58,1.8268,0.9987,1.0346,79.004
2012-04-30,305.95,348,1.9083,0.9872,1.0429,78.776
2012-05-31,272.97,428.98,2.0227,1.0328,0.9734,83.043
2012-06-29,284.19,374.17,2.0094,1.0166,1.0238,81.627
2012-07-31,299.51,341.37,2.0569,1.0031,1.0503,82.635
2012-08-31,309.59,325.45,2.0308,0.9863,1.0322,81.208
2012-09-28,309.3,307.67,2.0264,0.9837,1.0378,79.935
2012-10-31,295.84,295.76,2.0308,0.9994,1.0376,79.919
2012-11-30,298.98,286.64,2.136,0.9944,1.0428,80.153
2012-12-31,295.01,265.78,2.0516,0.9921,1.0394,79.769
2013-01-31,303.9876,270.74,1.9915,0.9972,1.0425,79.207
2013-02-28,292.9464,288.33,1.9785,1.0306,1.0215,81.949
2013-03-29,296.3915,307.35,2.0217,1.0174,1.0419,82.976
2013-04-30,288.1342,291.27,2.0013,1.0073,1.0371,81.746
2013-05-31,281.8523,306.87,2.1411,1.0375,0.9571,83.375
2013-06-28,275.6195,353.42,2.2317,1.0519,0.9138,83.136
2013-07-31,283.9425,342.99,2.2766,1.0277,0.8982,81.452
2013-08-30,291.1622,375.11,2.3855,1.0537,0.8901,82.087
2013-09-30,285.5414,355.29,2.217,1.0309,0.9317,80.221
2013-10-31,277.8629,327.51,2.2398,1.0431,0.9456,80.195
2013-11-29,274.8817,355,2.336,1.0614,0.9108,80.68
