date_CSH2169;CSH2169 BZ Equity;date_AMARAUR;AMARAUR BZ Equity;date_HPRFIC;HPRFIC BZ Equity;date_JULBGEN;JULBGEN BZ Equity;date_LEGCAPF;LEGCAPF BZ Equity;date_KPZETAF;KPZETAF BZ Equity;date_LSSTLS;LSSTLS BZ Equity;date_APXEQHF;APXEQHF BZ Equity;date_LSPLFIA;LSPLFIA BZ Equity;date_KADFIML;KADFIML BZ Equity;date_DIDOLFI;DIDOLFI BZ Equity;date_QUAADCP;QUAADCP BZ Equity;date_NWCSHST;NWCSHST BZ Equity;date_BEMFIRD;BEMFIRD BZ Equity
26/09/2018;1;15/06/2018;1;17/08/2016;12,751053;28/07/2020;1;29/06/2018;1;17/08/2016;2,317875;17/08/2016;140,1933;17/08/2016;1,665466;14/12/2016;1;17/08/2016;3,073679;17/08/2016;2,196553;22/03/2018;1;17/08/2016;102,622176;17/08/2016;2,335567
27/09/2018;1,0020317;18/06/2018;1,0007476;18/08/2016;12,733791;29/07/2020;0,9999901;02/07/2018;0,99956784;18/08/2016;2,307937;18/08/2016;140,0067;18/08/2016;1,663368;15/12/2016;1,006442;18/08/2016;3,085624;18/08/2016;2,214299;23/03/2018;1,00007307;18/08/2016;102,675395;18/08/2016;2,336786
28/09/2018;0,998382;19/06/2018;1,0015232;19/08/2016;12,789221;30/07/2020;0,9971232;03/07/2018;0,99968373;19/08/2016;2,31427;19/08/2016;139,5125;19/08/2016;1,663727;16/12/2016;1,006992;19/08/2016;3,086192;19/08/2016;2,214704;26/03/2018;1,00029716;19/08/2016;102,728183;19/08/2016;2,338006
01/10/2018;0,9965456;20/06/2018;1,0023103;22/08/2016;12,785333;31/07/2020;0,9974445;04/07/2018;0,99967228;22/08/2016;2,305978;22/08/2016;139,3632;22/08/2016;1,66272;19/12/2016;1,008373;22/08/2016;3,081783;22/08/2016;2,208772;27/03/2018;1,00039273;22/08/2016;102,78133;22/08/2016;2,339205
02/10/2018;1,0017563;21/06/2018;1,0021489;23/08/2016;12,774162;03/08/2020;0,9939763;05/07/2018;0,99906853;23/08/2016;2,31088;23/08/2016;139,5352;23/08/2016;1,660106;20/12/2016;1,014291;23/08/2016;3,08516;23/08/2016;2,209667;28/03/2018;1,00068466;23/08/2016;102,834575;23/08/2016;2,340431
03/10/2018;1,0077916;22/06/2018;1,0027502;24/08/2016;12,759821;04/08/2020;0,9919233;06/07/2018;0,99917602;24/08/2016;2,303305;24/08/2016;138,6998;24/08/2016;1,660595;21/12/2016;1,011513;24/08/2016;3,093512;24/08/2016;2,223083;29/03/2018;1,00198674;24/08/2016;102,887646;24/08/2016;2,34163
04/10/2018;1,009121;25/06/2018;1,0032153;25/08/2016;12,746974;05/08/2020;0,9924715;09/07/2018;0,99568559;25/08/2016;2,306933;25/08/2016;139,4246;25/08/2016;1,661141;22/12/2016;1,014328;25/08/2016;3,096192;25/08/2016;2,224512;02/04/2018;1,00230732;25/08/2016;102,940519;25/08/2016;2,342817
05/10/2018;1,0079249;26/06/2018;1,0037134;26/08/2016;12,710525;06/08/2020;0,9926625;10/07/2018;0,99614699;26/08/2016;2,299236;26/08/2016;138,6861;26/08/2016;1,660015;23/12/2016;1,013041;26/08/2016;3,088681;26/08/2016;2,20592;03/04/2018;1,00261887;26/08/2016;102,992949;26/08/2016;2,343951
08/10/2018;1,018952;27/06/2018;1,0035951;29/08/2016;12,724531;07/08/2020;0,9889407;11/07/2018;0,99752066;29/08/2016;2,303115;29/08/2016;137,9093;29/08/2016;1,663192;26/12/2016;1,013216;29/08/2016;3,09132;29/08/2016;2,210487;04/04/2018;1,00296724;29/08/2016;103,045781;29/08/2016;2,345127
09/10/2018;1,0215077;28/06/2018;1,0049195;30/08/2016;12,721434;10/08/2020;0,9879049;12/07/2018;0,99776189;30/08/2016;2,311786;30/08/2016;138,9758;30/08/2016;1,666557;27/12/2016;1,013748;30/08/2016;3,089753;30/08/2016;2,206502;05/04/2018;1,00326673;30/08/2016;103,098342;30/08/2016;2,346294
10/10/2018;1,0190704;29/06/2018;1,0055044;31/08/2016;12,732635;11/08/2020;0,9862945;13/07/2018;0,99755842;31/08/2016;2,311886;31/08/2016;139,9725;31/08/2016;1,668112;28/12/2016;1,011488;31/08/2016;3,081194;31/08/2016;2,193962;06/04/2018;1,00351159;31/08/2016;103,151502;31/08/2016;2,347486
