Product;FinancialPrice;data
paiva; 4,47 ;12/08/2021
paiva;4,483246;11/08/2021
paiva;4,501608;10/08/2021
paiva;4,52716;09/08/2021
paiva;4,514663;06/08/2021
paiva;4,494986;05/08/2021
paiva;4,487383;04/08/2021
paiva;4,517188;03/08/2021
paiva;4,506967;02/08/2021
paiva;4,47428;30/07/2021
paiva;4,592585;29/07/2021
paiva;4,589128;28/07/2021
paiva;4,568825;27/07/2021
paiva;4,628473;26/07/2021
paiva;4,655227;23/07/2021
paiva;4,676055;22/07/2021
paiva;4,633791;21/07/2021
paiva;4,626107;20/07/2021
paiva;4,617505;19/07/2021
paiva;4,669571;16/07/2021
paiva;4,694948;15/07/2021
paiva;4,714081;14/07/2021
paiva;4,708932;13/07/2021
paiva;4,680476;12/07/2021
paiva;4,624963;09/07/2021
paiva;4,620974;08/07/2021
paiva;4,668457;07/07/2021
paiva;4,605888;06/07/2021
paiva;4,650511;05/07/2021
paiva;4,661086;02/07/2021
paiva;4,593144;01/07/2021
paiva;4,623491;30/06/2021
paiva;4,638015;29/06/2021
paiva;4,643366;28/06/2021
paiva;4,61522;25/06/2021
paiva;4,67573;24/06/2021
paiva;4,645618;23/06/2021
paiva;4,655983;22/06/2021
paiva;4,652085;21/06/2021
paiva;4,63041;18/06/2021
paiva;4,619089;17/06/2021
paiva;4,619626;16/06/2021
paiva;4,633157;15/06/2021
paiva;4,637583;14/06/2021
paiva;4,598674;11/06/2021
paiva;4,628845;10/06/2021
paiva;4,609179;09/06/2021
paiva;4,615507;08/06/2021
paiva;4,635021;07/06/2021
paiva;4,615206;04/06/2021
paiva;4,602364;03/06/2021
paiva;4,602364;02/06/2021
paiva;4,60457;01/06/2021
paiva;4,535979;31/05/2021
paiva;4,502095;28/05/2021
paiva;4,477519;27/05/2021
paiva;4,464963;26/05/2021
paiva;4,445496;25/05/2021
paiva;4,458349;24/05/2021
paiva;4,3979;21/05/2021
paiva;4,414224;20/05/2021
paiva;4,381482;19/05/2021
paiva;4,401256;18/05/2021
paiva;4,409434;17/05/2021
paiva;4,378766;14/05/2021
paiva;4,325146;13/05/2021
paiva;4,285079;12/05/2021
paiva;4,413597;11/05/2021
paiva;4,392306;10/05/2021
paiva;4,356557;07/05/2021
paiva;4,35598;06/05/2021
paiva;4,36769;05/05/2021
paiva;4,32207;04/05/2021
paiva;4,363151;03/05/2021
paiva;4,347444;30/04/2021
paiva;4,371675;29/04/2021
paiva;4,37659;28/04/2021
paiva;4,343457;27/04/2021
paiva;4,379052;26/04/2021
paiva;4,36999;23/04/2021
paiva;4,328038;22/04/2021
paiva;4,365991;21/04/2021
paiva;4,365991;20/04/2021
paiva;4,389665;19/04/2021
paiva;4,404043;16/04/2021
paiva;4,379924;15/04/2021
paiva;4,385566;14/04/2021
paiva;4,385111;13/04/2021
paiva;4,378032;12/04/2021
paiva;4,343884;09/04/2021
paiva;4,347557;08/04/2021
paiva;4,31224;07/04/2021
paiva;4,314082;06/04/2021
paiva;4,228285;05/04/2021
paiva;4,227847;02/04/2021
paiva;4,227847;01/04/2021
paiva;4,232831;31/03/2021
paiva;4,228251;30/03/2021
paiva;4,160291;29/03/2021
paiva;4,179692;26/03/2021
