,IBOXHY Index
,PX_LAST
Date,
2017-12-29,269.1327
2018-01-02,269.4638
2018-01-03,270.2244
2018-01-04,270.9258
2018-01-05,271.2983
2018-01-08,271.4449
2018-01-09,271.3738
2018-01-10,270.6107
2018-01-11,270.8157
2018-01-12,270.8807
2018-01-15,271.0161
2018-01-16,271.109
2018-01-17,270.964
2018-01-18,270.6349
2018-01-19,270.4478
2018-01-22,270.5472
2018-01-23,270.9513
2018-01-24,271.0921
2018-01-25,271.1506
2018-01-26,271.2208
2018-01-29,270.8957
2018-01-30,270.1155
2018-01-31,270.3475
2018-02-01,270.0018
2018-02-02,268.8675
2018-02-05,268.2712
2018-02-06,267.274
2018-02-07,268.1554
2018-02-08,266.8074
2018-02-09,264.6755
2018-02-12,265.6973
2018-02-13,265.022
2018-02-14,265.0069
2018-02-15,266.364
2018-02-16,267.4259
2018-02-19,267.5611
2018-02-20,267.7733
2018-02-21,267.7204
2018-02-22,267.3008
2018-02-23,267.1525
2018-02-26,268.0055
2018-02-27,268.0034
2018-02-28,267.8392
2018-03-01,267.3074
2018-03-02,266.4842
2018-03-05,266.9437
2018-03-06,267.5648
2018-03-07,267.3094
2018-03-08,267.3701
2018-03-09,267.5694
2018-03-12,267.6649
2018-03-13,267.4946
2018-03-14,267.1978
2018-03-15,266.9376
2018-03-16,266.999
2018-03-19,266.6333
2018-03-20,266.4961
2018-03-21,266.5864
2018-03-22,266.2967
2018-03-23,266.0533
2018-03-26,266.0681
2018-03-27,266.3611
2018-03-28,266.1532
2018-03-29,266.3458
2018-04-02,266.0557
2018-04-03,266.0775
2018-04-04,266.2378
2018-04-05,267.2294
2018-04-06,267.3812
2018-04-09,267.7229
2018-04-10,268.5174
2018-04-11,268.7773
2018-04-12,269.3059
2018-04-13,269.9532
2018-04-16,270.3282
2018-04-17,270.8358
2018-04-18,270.9369
2018-04-19,269.8938
2018-04-20,269.5004
2018-04-23,268.9379
2018-04-24,268.4648
2018-04-25,267.6667
2018-04-26,268.1569
2018-04-27,268.3246
2018-04-30,268.403
2018-05-01,268.0945
2018-05-02,268.416
2018-05-03,268.1397
2018-05-04,268.2928
2018-05-07,268.6581
2018-05-08,268.6577
2018-05-09,268.8049
2018-05-10,269.0533
2018-05-11,269.2226
2018-05-14,269.3965
2018-05-15,268.9305
2018-05-16,268.7347
2018-05-17,268.7187
2018-05-18,268.6158
2018-05-21,268.7384
2018-05-22,268.907
2018-05-23,268.672
2018-05-24,268.7874
2018-05-25,268.7352
2018-05-28,268.8716
2018-05-29,268.1559
2018-05-30,268.5518
2018-05-31,268.8915
2018-06-01,269.1027
2018-06-04,269.4507
2018-06-05,269.7454
2018-06-06,270.09
2018-06-07,270.5006
2018-06-08,270.5301
2018-06-11,270.7852
2018-06-12,271.0912
2018-06-13,271.4377
2018-06-14,271.7473
2018-06-15,271.8083
2018-06-18,271.7681
2018-06-19,271.4995
2018-06-20,271.8864
2018-06-21,271.7155
2018-06-22,271.7854
2018-06-25,271.3755
2018-06-26,271.0899
2018-06-27,270.86
2018-06-28,269.8529
2018-06-29,270.034
2018-07-02,269.2149
2018-07-03,269.5054
2018-07-04,269.5514
2018-07-05,269.6737
2018-07-06,269.8828
2018-07-09,270.6345
2018-07-10,271.1891
2018-07-11,270.8778
2018-07-12,271.3535
2018-07-13,271.5784
2018-07-16,271.5641
2018-07-17,271.5798
2018-07-18,271.7425
2018-07-19,271.7081
2018-07-20,271.7809
2018-07-23,271.9697
2018-07-24,272.2219
2018-07-25,272.3202
2018-07-26,272.6306
2018-07-27,272.7311
2018-07-30,272.895
2018-07-31,273.2745
2018-08-01,273.2834
2018-08-02,273.4066
2018-08-03,273.7642
2018-08-06,274.0191
2018-08-07,274.5414
2018-08-08,274.5021
2018-08-09,274.4926
2018-08-10,274.0063
2018-08-13,273.7969
2018-08-14,273.8889
2018-08-15,273.513
2018-08-16,273.9164
2018-08-17,274.0104
2018-08-20,274.3312
2018-08-21,274.62
2018-08-22,274.9596
2018-08-23,275.0111
2018-08-24,275.1519
2018-08-27,275.4192
2018-08-28,275.4728
2018-08-29,275.541
2018-08-30,275.4484
2018-08-31,275.3044
2018-09-03,275.375
2018-09-04,275.3047
2018-09-05,275.0541
2018-09-06,274.9563
2018-09-07,274.8206
2018-09-10,275.0353
2018-09-11,275.223
2018-09-12,275.7162
2018-09-13,276.0799
2018-09-14,276.3033
2018-09-17,276.3521
2018-09-18,276.5665
2018-09-19,276.4466
2018-09-20,276.391
2018-09-21,276.4371
2018-09-24,276.3068
2018-09-25,276.2668
2018-09-26,276.4187
2018-09-27,276.5996
2018-09-28,276.7841
2018-10-01,277.5074
2018-10-02,277.6806
2018-10-03,277.6161
2018-10-04,276.1879
2018-10-05,275.6727
2018-10-08,275.8145
2018-10-09,274.8746
2018-10-10,273.7186
2018-10-11,273.6826
2018-10-12,274.3085
2018-10-15,274.4683
2018-10-16,275.0273
2018-10-17,274.9076
2018-10-18,274.3
2018-10-19,274.1328
2018-10-22,274.0727
