data;NORONHM BZ Equity;IHFAIHFA Index;IFMMIFMM Index;BZRFIMAB Index;IBX Index
04/01/2019;1,0102933;3414,74;13,444010;6302,765;38060,75
11/01/2019;1,0136550;3422,05;13,460714;6363,236;38808,61
18/01/2019;1,0178387;3438,33;13,504253;6399,401;39822,09
25/01/2019;1,0206376;3449,02;13,539598;6413,761;40481,81
01/02/2019;1,0252523;3466,31;13,602821;6516,036;40592,66
08/02/2019;1,0204193;3442,92;13,526726;6413,698;39593,66
15/02/2019;1,0268178;3466,29;13,611852;6529,937;40456,76
22/02/2019;1,0265664;3463,13;13,607188;6502,409;40583,58
01/03/2019;1,0258206;3453,90;13,568892;6518,241;39307,83
08/03/2019;1,0274036;3454,71;13,572862;6531,984;39607,12
15/03/2019;1,0338338;3480,44;13,663305;6603,396;41121,34
22/03/2019;1,0312678;3448,91;13,574292;6558,219;38953,24
29/03/2019;1,0351613;3450,55;13,576576;6557,492;39643,35
05/04/2019;1,0375992;3457,46;13,599974;6583,694;40338,78
12/04/2019;1,0359546;3441,68;13,560137;6556,239;38648,20
19/04/2019;1,0377644;3452,15;13,595712;6574,697;39268,10
26/04/2019;1,0420813;3466,45;13,630001;6640,917;40003,17
03/05/2019;1,0410636;3471,48;13,645390;6679,168;39954,92
10/05/2019;1,0383049;3473,98;13,658768;6734,698;39300,51
17/05/2019;1,0359909;3454,72;13,601815;6688,471;37536,59
24/05/2019;1,0383427;3473,72;13,659805;6760,461;39036,83
31/05/2019;1,0432853;3500,70;13,741488;6900,086;40519,55
07/06/2019;1,0465050;3510,63;13,764620;6959,305;40871,43
14/06/2019;1,0467521;3526,71;13,821415;6988,264;40943,29
21/06/2019;1,0511522;3550,18;13,900557;7104,733;42537,45
28/06/2019;1,0515062;3553,65;13,914408;7157,767;42180,16
05/07/2019;1,0539857;3576,12;13,993550;7176,052;43487,65
12/07/2019;1,0583174;3586,05;14,039616;7224,147;43475,61
19/07/2019;1,0602204;3591,67;14,052678;7221,970;43303,22
26/07/2019;1,0580791;3587,89;14,036180;7264,418;43006,60
02/08/2019;1,0584054;3601,69;14,082479;7254,680;43027,06
09/08/2019;1,0632434;3624,53;14,156122;7319,802;43696,04
16/08/2019;1,0607462;3596,68;14,075428;7309,010;41970,21
23/08/2019;1,0613521;3592,65;14,065112;7288,949;41112,32
30/08/2019;1,0620784;3602,48;14,083101;7220,769;42602,77
06/09/2019;1,0607794;3598,84;14,078290;7256,675;43246,32
13/09/2019;1,0577156;3590,40;14,055763;7260,185;43439,89
20/09/2019;1,0616479;3615,50;14,148447;7409,238;44021,54
27/09/2019;1,0636059;3618,54;14,161039;7427,000;44077,14
04/10/2019;1,0662377;3616,82;14,161672;7440,708;43074,34
11/10/2019;1,0675694;3627,63;14,203767;7516,802;43572,75
18/10/2019;1,0710488;3643,51;14,256132;7595,930;43947,39
25/10/2019;1,0735164;3659,19;14,324370;7627,998;44935,46
01/11/2019;1,0750022;3674,35;14,363890;7699,998;45358,68
08/11/2019;1,0722308;3660,78;14,355970;7604,457;45075,43
15/11/2019;1,0704977;3652,05;14,279530;7576,815;44658,15
22/11/2019;1,0689713;3660,67;14,360210;7557,652;45528,67
29/11/2019;1,0698343;3659,76;14,332070;7488,693;45374,96
06/12/2019;1,0766022;3689,44;14,434030;7567,635;46586,70
13/12/2019;1,0809550;3716,44;14,525682;7646,989;47212,92
20/12/2019;1,0842555;3728,21;14,555147;7519,590;48345,59
27/12/2019;1,0900075;3751,81;14,630322;7590,986;49000,07
