,paiva,ibov
,PX_LAST,PX_LAST
Date,,
2014-12-31,1.526001,50007.4
2014-12-31,1.526001,50007.4
2014-12-31,1.526001,50007.4
2014-12-31,1.526001,50007.4
2015-01-01,1.526001,50007.4
2015-01-01,1.526001,50007.4
2015-01-01,1.526001,50007.4
2015-01-01,1.526001,50007.4
2015-01-02,1.507367,48512.2
2015-01-02,1.507367,48512.2
2015-01-02,1.507367,48512.2
2015-01-02,1.507367,48512.2
2015-01-05,1.491761,47516.8
2015-01-05,1.491761,47516.8
2015-01-05,1.491761,47516.8
2015-01-05,1.491761,47516.8
2015-01-06,1.496683,48000.9
2015-01-06,1.496683,48000.9
2015-01-06,1.496683,48000.9
2015-01-06,1.496683,48000.9
2015-01-07,1.50873,49462.9
2015-01-07,1.50873,49462.9
2015-01-07,1.50873,49462.9
2015-01-07,1.50873,49462.9
2015-01-08,1.513008,49943.3
2015-01-08,1.513008,49943.3
2015-01-08,1.513008,49943.3
2015-01-08,1.513008,49943.3
2015-01-09,1.491742,48840.3
2015-01-09,1.491742,48840.3
2015-01-09,1.491742,48840.3
2015-01-09,1.491742,48840.3
2015-01-12,1.484509,48139.7
2015-01-12,1.484509,48139.7
2015-01-12,1.484509,48139.7
2015-01-12,1.484509,48139.7
2015-01-13,1.481091,48041.7
2015-01-13,1.481091,48041.7
2015-01-13,1.481091,48041.7
2015-01-13,1.481091,48041.7
2015-01-14,1.479271,47645.9
2015-01-14,1.479271,47645.9
2015-01-14,1.479271,47645.9
2015-01-14,1.479271,47645.9
2015-01-15,1.483167,48026.3
2015-01-15,1.483167,48026.3
2015-01-15,1.483167,48026.3
2015-01-15,1.483167,48026.3
2015-01-16,1.496332,49016.5
2015-01-16,1.496332,49016.5
2015-01-16,1.496332,49016.5
2015-01-16,1.496332,49016.5
2015-01-19,1.479041,47758.0
2015-01-19,1.479041,47758.0
2015-01-19,1.479041,47758.0
2015-01-19,1.479041,47758.0
2015-01-20,1.482416,47876.7
2015-01-20,1.482416,47876.7
2015-01-20,1.482416,47876.7
2015-01-20,1.482416,47876.7
2015-01-21,1.50105,49224.1
2015-01-21,1.50105,49224.1
2015-01-21,1.50105,49224.1
2015-01-21,1.50105,49224.1
2015-01-22,1.500208,49442.6
2015-01-22,1.500208,49442.6
2015-01-22,1.500208,49442.6
2015-01-22,1.500208,49442.6
2015-01-23,1.49777,48775.3
2015-01-23,1.49777,48775.3
2015-01-23,1.49777,48775.3
2015-01-23,1.49777,48775.3
2015-01-26,1.491103,48576.6
2015-01-26,1.491103,48576.6
2015-01-26,1.491103,48576.6
2015-01-26,1.491103,48576.6
2015-01-27,1.490474,48591.2
2015-01-27,1.490474,48591.2
2015-01-27,1.490474,48591.2
2015-01-27,1.490474,48591.2
2015-01-28,1.482706,47694.5
2015-01-28,1.482706,47694.5
2015-01-28,1.482706,47694.5
2015-01-28,1.482706,47694.5
2015-01-29,1.491371,47762.2
2015-01-29,1.491371,47762.2
2015-01-29,1.491371,47762.2
2015-01-29,1.491371,47762.2
2015-01-30,1.484703,46907.7
2015-01-30,1.484703,46907.7
2015-01-30,1.484703,46907.7
2015-01-30,1.484703,46907.7
