;paiva;ibov;;;
31/12/2014;1,526001;50007,4;0;;-46,98329443
31/12/2014;1,526001;50007,4;0;;
31/12/2014;1,526001;50007,4;0;;
31/12/2014;1,526001;50007,4;0;;
01/01/2015;1,526001;50007,4;0;;
01/01/2015;1,526001;50007,4;0;;
01/01/2015;1,526001;50007,4;0;;
01/01/2015;1,526001;50007,4;0;;
02/01/2015;1,507367;48512,2;-1,221100117;;
02/01/2015;1,507367;48512,2;-1,221100117;;
02/01/2015;1,507367;48512,2;-1,221100117;;
02/01/2015;1,507367;48512,2;-1,221100117;;
05/01/2015;1,491761;47516,8;-2,243773104;;
05/01/2015;1,491761;47516,8;-2,243773104;;
05/01/2015;1,491761;47516,8;-2,243773104;;
05/01/2015;1,491761;47516,8;-2,243773104;;
06/01/2015;1,496683;48000,9;-1,92123072;;
06/01/2015;1,496683;48000,9;-1,92123072;;
06/01/2015;1,496683;48000,9;-1,92123072;;
06/01/2015;1,496683;48000,9;-1,92123072;;
07/01/2015;1,50873;49462,9;-1,131781696;;
07/01/2015;1,50873;49462,9;-1,131781696;;
07/01/2015;1,50873;49462,9;-1,131781696;;
07/01/2015;1,50873;49462,9;-1,131781696;;
08/01/2015;1,513008;49943,3;-0,85144112;;
08/01/2015;1,513008;49943,3;-0,85144112;;
08/01/2015;1,513008;49943,3;-0,85144112;;
08/01/2015;1,513008;49943,3;-0,85144112;;
09/01/2015;1,491742;48840,3;-2,245018188;;
09/01/2015;1,491742;48840,3;-2,245018188;;
09/01/2015;1,491742;48840,3;-2,245018188;;
09/01/2015;1,491742;48840,3;-2,245018188;;
12/01/2015;1,484509;48139,7;-2,71900215;;
12/01/2015;1,484509;48139,7;-2,71900215;;
12/01/2015;1,484509;48139,7;-2,71900215;;
12/01/2015;1,484509;48139,7;-2,71900215;;
13/01/2015;1,481091;48041,7;-2,942986276;;
13/01/2015;1,481091;48041,7;-2,942986276;;
13/01/2015;1,481091;48041,7;-2,942986276;;
13/01/2015;1,481091;48041,7;-2,942986276;;
14/01/2015;1,479271;47645,9;-3,062252253;;
14/01/2015;1,479271;47645,9;-3,062252253;;
14/01/2015;1,479271;47645,9;-3,062252253;;
14/01/2015;1,479271;47645,9;-3,062252253;;
15/01/2015;1,483167;48026,3;-2,806944425;;
15/01/2015;1,483167;48026,3;-2,806944425;;
15/01/2015;1,483167;48026,3;-2,806944425;;
15/01/2015;1,483167;48026,3;-2,806944425;;
16/01/2015;1,496332;49016,5;-1,944232016;;
16/01/2015;1,496332;49016,5;-1,944232016;;
16/01/2015;1,496332;49016,5;-1,944232016;;
16/01/2015;1,496332;49016,5;-1,944232016;;
19/01/2015;1,479041;47758;-3,077324327;;
19/01/2015;1,479041;47758;-3,077324327;;
19/01/2015;1,479041;47758;-3,077324327;;
19/01/2015;1,479041;47758;-3,077324327;;
20/01/2015;1,482416;47876,7;-2,856158023;;
20/01/2015;1,482416;47876,7;-2,856158023;;
20/01/2015;1,482416;47876,7;-2,856158023;;
20/01/2015;1,482416;47876,7;-2,856158023;;
21/01/2015;1,50105;49224,1;-1,635057906;;
21/01/2015;1,50105;49224,1;-1,635057906;;
21/01/2015;1,50105;49224,1;-1,635057906;;
21/01/2015;1,50105;49224,1;-1,635057906;;
22/01/2015;1,500208;49442,6;-1,690234803;;
22/01/2015;1,500208;49442,6;-1,690234803;;
22/01/2015;1,500208;49442,6;-1,690234803;;
22/01/2015;1,500208;49442,6;-1,690234803;;
23/01/2015;1,49777;48775,3;-1,849998788;;
23/01/2015;1,49777;48775,3;-1,849998788;;
23/01/2015;1,49777;48775,3;-1,849998788;;
23/01/2015;1,49777;48775,3;-1,849998788;;
26/01/2015;1,491103;48576,6;-2,286892341;;
26/01/2015;1,491103;48576,6;-2,286892341;;
26/01/2015;1,491103;48576,6;-2,286892341;;
26/01/2015;1,491103;48576,6;-2,286892341;;
27/01/2015;1,490474;48591,2;-2,328111187;;
27/01/2015;1,490474;48591,2;-2,328111187;;
27/01/2015;1,490474;48591,2;-2,328111187;;
27/01/2015;1,490474;48591,2;-2,328111187;;
28/01/2015;1,482706;47694,5;-2,837154104;;
28/01/2015;1,482706;47694,5;-2,837154104;;
28/01/2015;1,482706;47694,5;-2,837154104;;
28/01/2015;1,482706;47694,5;-2,837154104;;
29/01/2015;1,491371;47762,2;-2,269330099;;
29/01/2015;1,491371;47762,2;-2,269330099;;
29/01/2015;1,491371;47762,2;-2,269330099;;
29/01/2015;1,491371;47762,2;-2,269330099;;
30/01/2015;1,484703;46907,7;-2,706289183;;
30/01/2015;1,484703;46907,7;-2,706289183;;
30/01/2015;1,484703;46907,7;-2,706289183;;
30/01/2015;1,484703;46907,7;-2,706289183;;
02/02/2015;1,494828;47650,7;-2,042790273;;
02/02/2015;1,494828;47650,7;-2,042790273;;
02/02/2015;1,494828;47650,7;-2,042790273;;
02/02/2015;1,494828;47650,7;-2,042790273;;
03/02/2015;1,507972;48963,7;-1,18145401;;
03/02/2015;1,507972;48963,7;-1,18145401;;
03/02/2015;1,507972;48963,7;-1,18145401;;
03/02/2015;1,507972;48963,7;-1,18145401;;
04/02/2015;1,513616;49301,1;-0,81159842;;
04/02/2015;1,513616;49301,1;-0,81159842;;
04/02/2015;1,513616;49301,1;-0,81159842;;
04/02/2015;1,513616;49301,1;-0,81159842;;
05/02/2015;1,516959;49233,9;-0,592529101;;
05/02/2015;1,516959;49233,9;-0,592529101;;
05/02/2015;1,516959;49233,9;-0,592529101;;
05/02/2015;1,516959;49233,9;-0,592529101;;
06/02/2015;1,512872;48792,3;-0,860353303;;
06/02/2015;1,512872;48792,3;-0,860353303;;
06/02/2015;1,512872;48792,3;-0,860353303;;
06/02/2015;1,512872;48792,3;-0,860353303;;
09/02/2015;1,516887;49382,6;-0,597247315;;
09/02/2015;1,516887;49382,6;-0,597247315;;
09/02/2015;1,516887;49382,6;-0,597247315;;
09/02/2015;1,516887;49382,6;-0,597247315;;
10/02/2015;1,514013;48510,3;-0,785582709;;
10/02/2015;1,514013;48510,3;-0,785582709;;
10/02/2015;1,514013;48510,3;-0,785582709;;
10/02/2015;1,514013;48510,3;-0,785582709;;
11/02/2015;1,511362;48239,7;-0,959304745;;
11/02/2015;1,511362;48239,7;-0,959304745;;
11/02/2015;1,511362;48239,7;-0,959304745;;
11/02/2015;1,511362;48239,7;-0,959304745;;
12/02/2015;1,522309;49532,7;-0,241939553;;
12/02/2015;1,522309;49532,7;-0,241939553;;
12/02/2015;1,522309;49532,7;-0,241939553;;
12/02/2015;1,522309;49532,7;-0,241939553;;
13/02/2015;1,538685;50635,9;0;;
13/02/2015;1,538685;50635,9;0;;
13/02/2015;1,538685;50635,9;0;;
13/02/2015;1,538685;50635,9;0;;
16/02/2015;1,538685;50635,9;0;;
16/02/2015;1,538685;50635,9;0;;
16/02/2015;1,538685;50635,9;0;;
16/02/2015;1,538685;50635,9;0;;
17/02/2015;1,538685;50635,9;0;;
17/02/2015;1,538685;50635,9;0;;
17/02/2015;1,538685;50635,9;0;;
17/02/2015;1,538685;50635,9;0;;
18/02/2015;1,550703;51280,4;0;;
18/02/2015;1,550703;51280,4;0;;
18/02/2015;1,550703;51280,4;0;;
18/02/2015;1,550703;51280,4;0;;
19/02/2015;1,553182;51294;0;;
19/02/2015;1,553182;51294;0;;
19/02/2015;1,553182;51294;0;;
19/02/2015;1,553182;51294;0;;
20/02/2015;1,554676;51237,7;0;;
20/02/2015;1,554676;51237,7;0;;
20/02/2015;1,554676;51237,7;0;;
20/02/2015;1,554676;51237,7;0;;
23/02/2015;1,554187;51280,6;-0,031453499;;
23/02/2015;1,554187;51280,6;-0,031453499;;
23/02/2015;1,554187;51280,6;-0,031453499;;
23/02/2015;1,554187;51280,6;-0,031453499;;
24/02/2015;1,561743;51874,2;0;;
24/02/2015;1,561743;51874,2;0;;
24/02/2015;1,561743;51874,2;0;;
24/02/2015;1,561743;51874,2;0;;
25/02/2015;1,569311;51811;0;;
25/02/2015;1,569311;51811;0;;
25/02/2015;1,569311;51811;0;;
25/02/2015;1,569311;51811;0;;
26/02/2015;1,574273;51760,5;0;;
26/02/2015;1,574273;51760,5;0;;
26/02/2015;1,574273;51760,5;0;;
26/02/2015;1,574273;51760,5;0;;
27/02/2015;1,568469;51583,1;-0,368678114;;
27/02/2015;1,568469;51583,1;-0,368678114;;
27/02/2015;1,568469;51583,1;-0,368678114;;
27/02/2015;1,568469;51583,1;-0,368678114;;
02/03/2015;1,563155;51020,8;-0,706230749;;
02/03/2015;1,563155;51020,8;-0,706230749;;
02/03/2015;1,563155;51020,8;-0,706230749;;
02/03/2015;1,563155;51020,8;-0,706230749;;
03/03/2015;1,566993;51304,1;-0,462435677;;
03/03/2015;1,566993;51304,1;-0,462435677;;
03/03/2015;1,566993;51304,1;-0,462435677;;
03/03/2015;1,566993;51304,1;-0,462435677;;
04/03/2015;1,564498;50468,1;-0,62092153;;
04/03/2015;1,564498;50468,1;-0,62092153;;
04/03/2015;1,564498;50468,1;-0,62092153;;
04/03/2015;1,564498;50468,1;-0,62092153;;
05/03/2015;1,567898;50365,2;-0,404948824;;
05/03/2015;1,567898;50365,2;-0,404948824;;
05/03/2015;1,567898;50365,2;-0,404948824;;
05/03/2015;1,567898;50365,2;-0,404948824;;
06/03/2015;1,563507;49981,2;-0,683871222;;
06/03/2015;1,563507;49981,2;-0,683871222;;
06/03/2015;1,563507;49981,2;-0,683871222;;
06/03/2015;1,563507;49981,2;-0,683871222;;
09/03/2015;1,552686;49181;-1,37123612;;
09/03/2015;1,552686;49181;-1,37123612;;
09/03/2015;1,552686;49181;-1,37123612;;
09/03/2015;1,552686;49181;-1,37123612;;
10/03/2015;1,540983;48293,4;-2,114626879;;
10/03/2015;1,540983;48293,4;-2,114626879;;
10/03/2015;1,540983;48293,4;-2,114626879;;
10/03/2015;1,540983;48293,4;-2,114626879;;
11/03/2015;1,553696;48905,6;-1,307079522;;
11/03/2015;1,553696;48905,6;-1,307079522;;
11/03/2015;1,553696;48905,6;-1,307079522;;
11/03/2015;1,553696;48905,6;-1,307079522;;
12/03/2015;1,560997;48880,4;-0,843309896;;
12/03/2015;1,560997;48880,4;-0,843309896;;
12/03/2015;1,560997;48880,4;-0,843309896;;
12/03/2015;1,560997;48880,4;-0,843309896;;
13/03/2015;1,561937;48595,8;-0,783599795;;
13/03/2015;1,561937;48595,8;-0,783599795;;
13/03/2015;1,561937;48595,8;-0,783599795;;
13/03/2015;1,561937;48595,8;-0,783599795;;
16/03/2015;1,565814;48848,2;-0,537327389;;
16/03/2015;1,565814;48848,2;-0,537327389;;
16/03/2015;1,565814;48848,2;-0,537327389;;
16/03/2015;1,565814;48848,2;-0,537327389;;
17/03/2015;1,5845;50285,1;0;;
17/03/2015;1,5845;50285,1;0;;
17/03/2015;1,5845;50285,1;0;;
17/03/2015;1,5845;50285,1;0;;
18/03/2015;1,605281;51526,2;0;;
18/03/2015;1,605281;51526,2;0;;
18/03/2015;1,605281;51526,2;0;;
18/03/2015;1,605281;51526,2;0;;
19/03/2015;1,603363;50953,5;-0,119480639;;
19/03/2015;1,603363;50953,5;-0,119480639;;
19/03/2015;1,603363;50953,5;-0,119480639;;
19/03/2015;1,603363;50953,5;-0,119480639;;
20/03/2015;1,610335;51966,6;0;;
20/03/2015;1,610335;51966,6;0;;
20/03/2015;1,610335;51966,6;0;;
20/03/2015;1,610335;51966,6;0;;
23/03/2015;1,60666;51908,5;-0,228213384;;
23/03/2015;1,60666;51908,5;-0,228213384;;
23/03/2015;1,60666;51908,5;-0,228213384;;
23/03/2015;1,60666;51908,5;-0,228213384;;
24/03/2015;1,605071;51506,1;-0,326888505;;
24/03/2015;1,605071;51506,1;-0,326888505;;
24/03/2015;1,605071;51506,1;-0,326888505;;
24/03/2015;1,605071;51506,1;-0,326888505;;
25/03/2015;1,612464;51858,3;0;;
25/03/2015;1,612464;51858,3;0;;
25/03/2015;1,612464;51858,3;0;;
25/03/2015;1,612464;51858,3;0;;
26/03/2015;1,597317;50579,9;-0,939369809;;
26/03/2015;1,597317;50579,9;-0,939369809;;
26/03/2015;1,597317;50579,9;-0,939369809;;
26/03/2015;1,597317;50579,9;-0,939369809;;
27/03/2015;1,594445;50094,7;-1,117482313;;
27/03/2015;1,594445;50094,7;-1,117482313;;
27/03/2015;1,594445;50094,7;-1,117482313;;
27/03/2015;1,594445;50094,7;-1,117482313;;
30/03/2015;1,614015;51243,4;0;;
30/03/2015;1,614015;51243,4;0;;
30/03/2015;1,614015;51243,4;0;;
30/03/2015;1,614015;51243,4;0;;
31/03/2015;1,612234;51150,2;-0,110345939;;
31/03/2015;1,612234;51150,2;-0,110345939;;
31/03/2015;1,612234;51150,2;-0,110345939;;
31/03/2015;1,612234;51150,2;-0,110345939;;
01/04/2015;1,628192;52321,8;0;;
01/04/2015;1,628192;52321,8;0;;
01/04/2015;1,628192;52321,8;0;;
01/04/2015;1,628192;52321,8;0;;
02/04/2015;1,635164;53123;0;;
02/04/2015;1,635164;53123;0;;
02/04/2015;1,635164;53123;0;;
02/04/2015;1,635164;53123;0;;
03/04/2015;1,635164;53123;0;;
03/04/2015;1,635164;53123;0;;
03/04/2015;1,635164;53123;0;;
03/04/2015;1,635164;53123;0;;
06/04/2015;1,645553;53737,3;0;;
