;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
241;2021-09-30;JPEIGLSP Index;324,3699951171875;09-2021;Sep;9;2021;;
240;2021-08-31;JPEIGLSP Index;313,010009765625;08-2021;Aug;8;2021;1,0362926721572876;0,0362926721572876
239;2021-07-30;JPEIGLSP Index;325,0199890136719;07-2021;Jul;7;2021;0,96304851770401;-0,03695148229598999
238;2021-06-30;JPEIGLSP Index;312,5;06-2021;Jun;6;2021;1,0400639772415161;0,04006397724151611
237;2021-05-31;JPEIGLSP Index;306,69000244140625;05-2021;May;5;2021;1,0189441442489624;0,018944144248962402
236;2021-04-30;JPEIGLSP Index;312,9700012207031;04-2021;Apr;4;2021;0,9799341559410095;-0,02006584405899048
235;2021-03-31;JPEIGLSP Index;323,94000244140625;03-2021;Mar;3;2021;0,9661356806755066;-0,03386431932449341
234;2021-02-26;JPEIGLSP Index;328,7200012207031;02-2021;Feb;2;2021;0,9854587316513062;-0,014541268348693848
233;2021-01-29;JPEIGLSP Index;324,239990234375;01-2021;Jan;1;2021;1,0138169527053833;0,0138169527053833
232;2020-12-31;JPEIGLSP Index;322,9700012207031;12-2020;Dec;12;2020;1,003932237625122;0,00393223762512207
231;2020-11-30;JPEIGLSP Index;350,19000244140625;11-2020;Nov;11;2020;0,9222707748413086;-0,0777292251586914
230;2020-10-30;JPEIGLSP Index;387,9800109863281;10-2020;Oct;10;2020;0,9025980234146118;-0,09740197658538818
229;2020-09-30;JPEIGLSP Index;398,1499938964844;09-2020;Sep;9;2020;0,9744569063186646;-0,02554309368133545
228;2020-08-31;JPEIGLSP Index;385,3500061035156;08-2020;Aug;8;2020;1,0332164764404297;0,03321647644042969
227;2020-07-31;JPEIGLSP Index;401,3800048828125;07-2020;Jul;7;2020;0,9600628018379211;-0,03993719816207886
226;2020-06-30;JPEIGLSP Index;433,30999755859375;06-2020;Jun;6;2020;0,9263114333152771;-0,0736885666847229
225;2020-05-29;JPEIGLSP Index;463,3999938964844;05-2020;May;5;2020;0,9350668787956238;-0,06493312120437622
224;2020-04-30;JPEIGLSP Index;557,280029296875;04-2020;Apr;4;2020;0,8315388560295105;-0,1684611439704895
223;2020-03-31;JPEIGLSP Index;577,010009765625;03-2020;Mar;3;2020;0,9658065438270569;-0,034193456172943115
222;2020-02-28;JPEIGLSP Index;353,5799865722656;02-2020;Feb;2;2020;1,6319080591201782;0,6319080591201782
221;2020-01-31;JPEIGLSP Index;299,3599853515625;01-2020;Jan;1;2020;1,181119680404663;0,18111968040466309
220;2019-12-31;JPEIGLSP Index;277,3900146484375;12-2019;Dec;12;2019;1,07920241355896;0,07920241355895996
219;2019-11-29;JPEIGLSP Index;308,8900146484375;11-2019;Nov;11;2019;0,898021936416626;-0,10197806358337402
218;2019-10-31;JPEIGLSP Index;322,54998779296875;10-2019;Oct;10;2019;0,9576500654220581;-0,042349934577941895
217;2019-09-30;JPEIGLSP Index;337,510009765625;09-2019;Sep;9;2019;0,9556753039360046;-0,04432469606399536
216;2019-08-30;JPEIGLSP Index;361,0;08-2019;Aug;8;2019;0,9349308013916016;-0,06506919860839844
215;2019-07-31;JPEIGLSP Index;332,9800109863281;07-2019;Jul;7;2019;1,0841491222381592;0,08414912223815918
214;2019-06-28;JPEIGLSP Index;365,8299865722656;06-2019;Jun;6;2019;0,9102042317390442;-0,08979576826095581
213;2019-05-31;JPEIGLSP Index;392,67999267578125;05-2019;May;5;2019;0,9316236972808838;-0,06837630271911621
212;2019-04-30;JPEIGLSP Index;364,7799987792969;04-2019;Apr;4;2019;1,0764844417572021;0,07648444175720215
211;2019-03-29;JPEIGLSP Index;372,7699890136719;03-2019;Mar;3;2019;0,9785658717155457;-0,021434128284454346
210;2019-02-28;JPEIGLSP Index;361,2099914550781;02-2019;Feb;2;2019;1,0320035219192505;0,03200352191925049
209;2019-01-31;JPEIGLSP Index;377,9100036621094;01-2019;Jan;1;2019;0,9558095335960388;-0,04419046640396118
208;2018-12-31;JPEIGLSP Index;434,6099853515625;12-2018;Dec;12;2018;0,8695382475852966;-0,13046175241470337
207;2018-11-30;JPEIGLSP Index;419,69000244140625;11-2018;Nov;11;2018;1,0355499982833862;0,03554999828338623
206;2018-10-31;JPEIGLSP Index;392,3500061035156;10-2018;Oct;10;2018;1,0696827173233032;0,06968271732330322
205;2018-09-28;JPEIGLSP Index;361,7300109863281;09-2018;Sep;9;2018;1,0846487283706665;0,0846487283706665
204;2018-08-31;JPEIGLSP Index;399,9100036621094;08-2018;Aug;8;2018;0,9045285582542419;-0,09547144174575806
203;2018-07-31;JPEIGLSP Index;354,1700134277344;07-2018;Jul;7;2018;1,129146933555603;0,12914693355560303
202;2018-06-29;JPEIGLSP Index;388,05999755859375;06-2018;Jun;6;2018;0,9126681685447693;-0,08733183145523071
201;2018-05-31;JPEIGLSP Index;366,67999267578125;05-2018;May;5;2018;1,0583069324493408;0,05830693244934082
200;2018-04-30;JPEIGLSP Index;334,92999267578125;04-2018;Apr;4;2018;1,0947959423065186;0,09479594230651855
199;2018-03-30;JPEIGLSP Index;325,9700012207031;03-2018;Mar;3;2018;1,0274871587753296;0,02748715877532959
198;2018-02-28;JPEIGLSP Index;311,1600036621094;02-2018;Feb;2;2018;1,0475960969924927;0,047596096992492676
197;2018-01-31;JPEIGLSP Index;292,3299865722656;01-2018;Jan;1;2018;1,0644135475158691;0,06441354751586914
196;2017-12-29;JPEIGLSP Index;310,9800109863281;12-2017;Dec;12;2017;0,9400282502174377;-0,059971749782562256
195;2017-11-30;JPEIGLSP Index;313,3999938964844;11-2017;Nov;11;2017;0,9922782778739929;-0,00772172212600708
194;2017-10-31;JPEIGLSP Index;306,67999267578125;10-2017;Oct;10;2017;1,0219120979309082;0,021912097930908203
193;2017-09-29;JPEIGLSP Index;307,6300048828125;09-2017;Sep;9;2017;0,9969118237495422;-0,0030881762504577637
192;2017-08-31;JPEIGLSP Index;321,0199890136719;08-2017;Aug;8;2017;0,9582892656326294;-0,041710734367370605
191;2017-07-31;JPEIGLSP Index;324,239990234375;07-2017;Jul;7;2017;0,9900690913200378;-0,009930908679962158
190;2017-06-30;JPEIGLSP Index;328,239990234375;06-2017;Jun;6;2017;0,9878137707710266;-0,012186229228973389
189;2017-05-31;JPEIGLSP Index;322,6400146484375;05-2017;May;5;2017;1,0173567533493042;0,0173567533493042
188;2017-04-28;JPEIGLSP Index;321,5;04-2017;Apr;4;2017;1,003545880317688;0,0035458803176879883
187;2017-03-31;JPEIGLSP Index;331,4800109863281;03-2017;Mar;3;2017;0,9698925614356995;-0,030107438564300537
186;2017-02-28;JPEIGLSP Index;333,8999938964844;02-2017;Feb;2;2017;0,9927523732185364;-0,007247626781463623
185;2017-01-31;JPEIGLSP Index;351,79998779296875;01-2017;Jan;1;2017;0,9491188526153564;-0,050881147384643555
184;2016-12-30;JPEIGLSP Index;365,3800048828125;12-2016;Dec;12;2016;0,9628331661224365;-0,03716683387756348
183;2016-11-30;JPEIGLSP Index;387,6000061035156;11-2016;Nov;11;2016;0,942672848701477;-0,05732715129852295
182;2016-10-31;JPEIGLSP Index;363,7900085449219;10-2016;Oct;10;2016;1,065449833869934;0,06544983386993408
181;2016-09-30;JPEIGLSP Index;359,989990234375;09-2016;Sep;9;2016;1,0105558633804321;0,010555863380432129
180;2016-08-31;JPEIGLSP Index;361,2099914550781;08-2016;Aug;8;2016;0,9966224431991577;-0,003377556800842285
179;2016-07-29;JPEIGLSP Index;392,1099853515625;07-2016;Jul;7;2016;0,9211955666542053;-0,07880443334579468
178;2016-06-30;JPEIGLSP Index;406,55999755859375;06-2016;Jun;6;2016;0,9644578695297241;-0,03554213047027588
177;2016-05-31;JPEIGLSP Index;421,1499938964844;05-2016;May;5;2016;0,9653567671775818;-0,03464323282241821
176;2016-04-29;JPEIGLSP Index;410,07000732421875;04-2016;Apr;4;2016;1,027019739151001;0,027019739151000977
175;2016-03-31;JPEIGLSP Index;433,7900085449219;03-2016;Mar;3;2016;0,9453191757202148;-0,054680824279785156
174;2016-02-29;JPEIGLSP Index;483,239990234375;02-2016;Feb;2;2016;0,8976699113845825;-0,10233008861541748
173;2016-01-29;JPEIGLSP Index;493,6000061035156;01-2016;Jan;1;2016;0,9790112972259521;-0,02098870277404785
172;2015-12-31;JPEIGLSP Index;445,6000061035156;12-2015;Dec;12;2015;1,107719898223877;0,10771989822387695
171;2015-11-30;JPEIGLSP Index;419,510009765625;11-2015;Nov;11;2015;1,0621916055679321;0,06219160556793213
170;2015-10-30;JPEIGLSP Index;422,239990234375;10-2015;Oct;10;2015;0,993534505367279;-0,006465494632720947
169;2015-09-30;JPEIGLSP Index;473,94000244140625;09-2015;Sep;9;2015;0,8909144401550293;-0,1090855598449707
168;2015-08-31;JPEIGLSP Index;429,94000244140625;08-2015;Aug;8;2015;1,1023398637771606;0,10233986377716064
167;2015-07-31;JPEIGLSP Index;406,67999267578125;07-2015;Jul;7;2015;1,0571948289871216;0,05719482898712158
166;2015-06-30;JPEIGLSP Index;391,760009765625;06-2015;Jun;6;2015;1,0380845069885254;0,03808450698852539
