;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
67;2021-06-30;Riverview ALF;151,37746;06-2021;Jun;6;2021;;
66;2021-05-31;Riverview ALF;148,31781;05-2021;May;5;2021;1,020629;0,020629048
65;2021-04-30;Riverview ALF;145,32;04-2021;Apr;4;2021;1,0206289;0,02062893
64;2021-03-31;Riverview ALF;145,22;03-2021;Mar;3;2021;1,0006887;0,00068867207
63;2021-02-26;Riverview ALF;133,53;02-2021;Feb;2;2021;1,0875459;0,08754587
62;2021-01-29;Riverview ALF;130,15;01-2021;Jan;1;2021;1,0259701;0,025970101
61;2020-12-31;Riverview ALF;125,56;12-2020;Dec;12;2020;1,0365562;0,036556244
60;2020-11-30;Riverview ALF;120,02;11-2020;Nov;11;2020;1,046159;0,04615903
59;2020-10-30;Riverview ALF;118,3;10-2020;Oct;10;2020;1,0145392;0,014539242
58;2020-09-30;Riverview ALF;116,48;09-2020;Sep;9;2020;1,015625;0,015625
57;2020-08-31;Riverview ALF;115,21;08-2020;Aug;8;2020;1,0110234;0,011023402
56;2020-07-31;Riverview ALF;113,59;07-2020;Jul;7;2020;1,0142618;0,014261842
55;2020-06-30;Riverview ALF;111,91;06-2020;Jun;6;2020;1,015012;0,015012026
54;2020-05-29;Riverview ALF;109,02;05-2020;May;5;2020;1,0265089;0,026508927
53;2020-04-30;Riverview ALF;107,66;04-2020;Apr;4;2020;1,0126323;0,012632251
52;2020-03-31;Riverview ALF;107,52;03-2020;Mar;3;2020;1,0013021;0,0013021231
51;2020-02-28;Riverview ALF;113,65;02-2020;Feb;2;2020;0,94606245;-0,053937554
50;2020-01-31;Riverview ALF;112,51;01-2020;Jan;1;2020;1,0101324;0,010132432
49;2019-12-31;Riverview ALF;111,91;12-2019;Dec;12;2019;1,0053614;0,005361438
48;2019-11-29;Riverview ALF;111,32;11-2019;Nov;11;2019;1,0053;0,005300045
47;2019-10-31;Riverview ALF;110,18;10-2019;Oct;10;2019;1,0103467;0,010346651
46;2019-09-30;Riverview ALF;109,59;09-2019;Sep;9;2019;1,0053837;0,00538373
45;2019-08-30;Riverview ALF;108,67;08-2019;Aug;8;2019;1,008466;0,008466005
44;2019-07-31;Riverview ALF;107,93;07-2019;Jul;7;2019;1,0068563;0,0068563223
