;index;Product;MesAno;data;FinancialPrice;Mes_nomial;Mes;Ano;Retorno_1;Retorno
677;677;JPEIGLSP Index;10-2021;2021-10-20;333,0;Oct;10;2021;;
665;665;JPEIGLSP Index;09-2021;2021-09-30;324,37;Sep;9;2021;1,0266055;0,026605487
653;653;JPEIGLSP Index;08-2021;2021-08-31;327,44;Aug;8;2021;0,9906242;-0,009375811
641;641;JPEIGLSP Index;07-2021;2021-07-30;331,83;Jul;7;2021;0,9867704;-0,013229609
629;629;JPEIGLSP Index;06-2021;2021-06-30;312,5;Jun;6;2021;1,0618559;0,061855912
617;617;JPEIGLSP Index;05-2021;2021-05-31;316,64;May;5;2021;0,9869252;-0,013074815
605;605;JPEIGLSP Index;04-2021;2021-04-30;324,19;Apr;4;2021;0,9767112;-0,023288786
593;593;JPEIGLSP Index;03-2021;2021-03-31;341,93;Mar;3;2021;0,9481181;-0,05188191
581;581;JPEIGLSP Index;02-2021;2021-02-26;328,72;Feb;2;2021;1,0401862;0,040186167
570;570;JPEIGLSP Index;01-2021;2021-01-29;332,49;Jan;1;2021;0,98866135;-0,011338651
699;699;JPEIGLSP Index;12-2020;2020-12-31;341,19;Dec;12;2020;0,97450095;-0,025499046
688;688;JPEIGLSP Index;11-2020;2020-11-30;389,79;Nov;11;2020;0,87531745;-0,124682546
676;676;JPEIGLSP Index;10-2020;2020-10-30;397,51;Oct;10;2020;0,9805791;-0,019420922
664;664;JPEIGLSP Index;09-2020;2020-09-30;408,98;Sep;9;2020;0,97195464;-0,028045356
652;652;JPEIGLSP Index;08-2020;2020-08-31;397,33;Aug;8;2020;1,0293208;0,029320836
640;640;JPEIGLSP Index;07-2020;2020-07-31;428,47;Jul;7;2020;0,92732275;-0,072677255
628;628;JPEIGLSP Index;06-2020;2020-06-30;457,68;Jun;6;2020;0,93617815;-0,06382185
616;616;JPEIGLSP Index;05-2020;2020-05-29;558,28;May;5;2020;0,81980366;-0,18019634
604;604;JPEIGLSP Index;04-2020;2020-04-30;598,78;Apr;4;2020;0,9323625;-0,0676375
592;592;JPEIGLSP Index;03-2020;2020-03-31;661,75;Mar;3;2020;0,9048433;-0,09515673
580;580;JPEIGLSP Index;02-2020;2020-02-28;353,58;Feb;2;2020;1,8715708;0,8715708
569;569;JPEIGLSP Index;01-2020;2020-01-31;302,21;Jan;1;2020;1,1699811;0,16998112
698;698;JPEIGLSP Index;12-2019;2019-12-31;320,45;Dec;12;2019;0,94308;-0,056919992
687;687;JPEIGLSP Index;11-2019;2019-11-29;329,85;Nov;11;2019;0,97150224;-0,028497756
675;675;JPEIGLSP Index;10-2019;2019-10-31;351,8;Oct;10;2019;0,93760663;-0,062393367
663;663;JPEIGLSP Index;09-2019;2019-09-30;361,0;Sep;9;2019;0,9745152;-0,0254848
651;651;JPEIGLSP Index;08-2019;2019-08-30;386,5;Aug;8;2019;0,93402326;-0,06597674
639;639;JPEIGLSP Index;07-2019;2019-07-31;359,97;Jul;7;2019;1,0737005;0,07370055
627;627;JPEIGLSP Index;06-2019;2019-06-28;398,31;Jun;6;2019;0,9037433;-0,09625667
615;615;JPEIGLSP Index;05-2019;2019-05-31;392,68;May;5;2019;1,0143374;0,01433742
603;603;JPEIGLSP Index;04-2019;2019-04-30;370,76;Apr;4;2019;1,0591217;0,059121728
591;591;JPEIGLSP Index;03-2019;2019-03-29;380,51;Mar;3;2019;0,9743765;-0,0256235
579;579;JPEIGLSP Index;02-2019;2019-02-28;380,6;Feb;2;2019;0,99976355;-0,00023645163
568;568;JPEIGLSP Index;01-2019;2019-01-31;440,61;Jan;1;2019;0,8638025;-0,1361975
697;697;JPEIGLSP Index;12-2018;2018-12-31;434,61;Dec;12;2018;1,0138055;0,013805509
686;686;JPEIGLSP Index;11-2018;2018-11-30;429,91;Nov;11;2018;1,0109324;0,0109324455
674;674;JPEIGLSP Index;10-2018;2018-10-31;395,37;Oct;10;2018;1,0873612;0,08736122
662;662;JPEIGLSP Index;09-2018;2018-09-28;406,88;Sep;9;2018;0,9717115;-0,028288484
650;650;JPEIGLSP Index;08-2018;2018-08-31;404,59;Aug;8;2018;1,00566;0,005660057
638;638;JPEIGLSP Index;07-2018;2018-07-31;389,04;Jul;7;2018;1,0399702;0,03997016
626;626;JPEIGLSP Index;06-2018;2018-06-29;394,26;Jun;6;2018;0,98676;-0,01323998
614;614;JPEIGLSP Index;05-2018;2018-05-31;366,68;May;5;2018;1,0752155;0,07521546
602;602;JPEIGLSP Index;04-2018;2018-04-30;334,93;Apr;4;2018;1,094796;0,09479594
590;590;JPEIGLSP Index;03-2018;2018-03-30;329,42;Mar;3;2018;1,0167263;0,016726255
578;578;JPEIGLSP Index;02-2018;2018-02-28;322,07;Feb;2;2018;1,0228212;0,022821188
567;567;JPEIGLSP Index;01-2018;2018-01-31;310,98;Jan;1;2018;1,0356615;0,03566146
696;696;JPEIGLSP Index;12-2017;2017-12-29;317,27;Dec;12;2017;0,98017466;-0,01982534
685;685;JPEIGLSP Index;11-2017;2017-11-30;329,79;Nov;11;2017;0,9620364;-0,03796363
673;673;JPEIGLSP Index;10-2017;2017-10-31;309,62;Oct;10;2017;1,0651444;0,06514442
661;661;JPEIGLSP Index;09-2017;2017-09-29;321,71;Sep;9;2017;0,96241957;-0,03758043
649;649;JPEIGLSP Index;08-2017;2017-08-31;333,8;Aug;8;2017;0,9637807;-0,0362193
637;637;JPEIGLSP Index;07-2017;2017-07-31;334,1;Jul;7;2017;0,999102;-0,0008980036
625;625;JPEIGLSP Index;06-2017;2017-06-30;334,76;Jun;6;2017;0,99802846;-0,0019715428
613;613;JPEIGLSP Index;05-2017;2017-05-31;330,9;May;5;2017;1,0116652;0,011665225
601;601;JPEIGLSP Index;04-2017;2017-04-28;338,78;Apr;4;2017;0,97674006;-0,023259938
589;589;JPEIGLSP Index;03-2017;2017-03-31;338,53;Mar;3;2017;1,0007385;0,00073850155
577;577;JPEIGLSP Index;02-2017;2017-02-28;348,18;Feb;2;2017;0,9722845;-0,027715504
566;566;JPEIGLSP Index;01-2017;2017-01-31;365,38;Jan;1;2017;0,9529257;-0,047074318
695;695;JPEIGLSP Index;12-2016;2016-12-30;392,95;Dec;12;2016;0,92983836;-0,07016164
684;684;JPEIGLSP Index;11-2016;2016-11-30;406,94;Nov;11;2016;0,9656215;-0,03437853
672;672;JPEIGLSP Index;10-2016;2016-10-31;365,73;Oct;10;2016;1,1126788;0,112678766
660;660;JPEIGLSP Index;09-2016;2016-09-30;370,95;Sep;9;2016;0,985928;-0,014072001
648;648;JPEIGLSP Index;08-2016;2016-08-31;388,97;Aug;8;2016;0,9536725;-0,04632747
636;636;JPEIGLSP Index;07-2016;2016-07-29;404,15;Jul;7;2016;0,9624397;-0,037560284
624;624;JPEIGLSP Index;06-2016;2016-06-30;434,65;Jun;6;2016;0,9298286;-0,070171416
612;612;JPEIGLSP Index;05-2016;2016-05-31;426,05;May;5;2016;1,0201855;0,02018547
600;600;JPEIGLSP Index;04-2016;2016-04-29;446,03;Apr;4;2016;0,9552048;-0,044795215
588;588;JPEIGLSP Index;03-2016;2016-03-31;469,11;Mar;3;2016;0,9508005;-0,04919952
576;576;JPEIGLSP Index;02-2016;2016-02-29;538,38;Feb;2;2016;0,8713362;-0,12866378
565;565;JPEIGLSP Index;01-2016;2016-01-29;519,06;Jan;1;2016;1,0372212;0,037221193
694;694;JPEIGLSP Index;12-2015;2015-12-31;457,15;Dec;12;2015;1,135426;0,13542604
683;683;JPEIGLSP Index;11-2015;2015-11-30;420,82;Nov;11;2015;1,0863314;0,08633137
671;671;JPEIGLSP Index;10-2015;2015-10-30;469,6;Oct;10;2015;0,89612436;-0,10387564
659;659;JPEIGLSP Index;09-2015;2015-09-30;483,12;Sep;9;2015;0,97201526;-0,027984738
647;647;JPEIGLSP Index;08-2015;2015-08-31;473,79;Aug;8;2015;1,0196922;0,019692183
