;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
966;2021-09-27;IBOXHY Index;330,7611083984375;09-2021;Sep;9;2021;;
965;2021-09-24;IBOXHY Index;330,9566955566406;09-2021;Sep;9;2021;0,999409019947052;-0,059098005294799805
964;2021-09-23;IBOXHY Index;331,3042907714844;09-2021;Sep;9;2021;0,9989508390426636;-0,10491609573364258
963;2021-09-22;IBOXHY Index;331,3554992675781;09-2021;Sep;9;2021;0,9998454451560974;-0,015455484390258789
962;2021-09-21;IBOXHY Index;330,86529541015625;09-2021;Sep;9;2021;1,001481533050537;0,14815330505371094
961;2021-09-20;IBOXHY Index;330,2762145996094;09-2021;Sep;9;2021;1,0017836093902588;0,1783609390258789
960;2021-09-17;IBOXHY Index;331,4964904785156;09-2021;Sep;9;2021;0,9963188767433167;-0,36811232566833496
959;2021-09-16;IBOXHY Index;331,60198974609375;09-2021;Sep;9;2021;0,999681830406189;-0,031816959381103516
958;2021-09-15;IBOXHY Index;331,7839050292969;09-2021;Sep;9;2021;0,9994516968727112;-0,054830312728881836
957;2021-09-14;IBOXHY Index;331,4787902832031;09-2021;Sep;9;2021;1,0009204149246216;0,0920414924621582
956;2021-09-13;IBOXHY Index;331,5668029785156;09-2021;Sep;9;2021;0,9997345805168152;-0,026541948318481445
955;2021-09-10;IBOXHY Index;331,3597106933594;09-2021;Sep;9;2021;1,0006250143051147;0,06250143051147461
954;2021-09-09;IBOXHY Index;331,114013671875;09-2021;Sep;9;2021;1,0007420778274536;0,07420778274536133
953;2021-09-08;IBOXHY Index;330,8434143066406;09-2021;Sep;9;2021;1,000817894935608;0,08178949356079102
952;2021-09-07;IBOXHY Index;330,8439025878906;09-2021;Sep;9;2021;0,9999985098838806;-0,00014901161193847656
951;2021-09-06;IBOXHY Index;331,2013854980469;09-2021;Sep;9;2021;0,9989206194877625;-0,10793805122375488
950;2021-09-03;IBOXHY Index;331,05841064453125;09-2021;Sep;9;2021;1,0004318952560425;0,04318952560424805
949;2021-09-02;IBOXHY Index;331,0392150878906;09-2021;Sep;9;2021;1,0000579357147217;0,005793571472167969
948;2021-09-01;IBOXHY Index;330,68328857421875;09-2021;Sep;9;2021;1,001076340675354;0,10763406753540039
947;2021-08-31;IBOXHY Index;330,5544128417969;08-2021;Aug;8;2021;1,0003899335861206;0,03899335861206055
946;2021-08-30;IBOXHY Index;330,3240051269531;08-2021;Aug;8;2021;1,0006974935531616;0,06974935531616211
945;2021-08-27;IBOXHY Index;329,6658020019531;08-2021;Aug;8;2021;1,001996636390686;0,19966363906860352
944;2021-08-26;IBOXHY Index;328,96630859375;08-2021;Aug;8;2021;1,0021263360977173;0,21263360977172852
943;2021-08-25;IBOXHY Index;328,86749267578125;08-2021;Aug;8;2021;1,0003005266189575;0,030052661895751953
942;2021-08-24;IBOXHY Index;328,5909118652344;08-2021;Aug;8;2021;1,000841736793518;0,08417367935180664
941;2021-08-23;IBOXHY Index;328,060791015625;08-2021;Aug;8;2021;1,0016158819198608;0,16158819198608398
940;2021-08-20;IBOXHY Index;327,3302917480469;08-2021;Aug;8;2021;1,0022317171096802;0,22317171096801758
939;2021-08-19;IBOXHY Index;327,03741455078125;08-2021;Aug;8;2021;1,0008955001831055;0,08955001831054688
938;2021-08-18;IBOXHY Index;327,50439453125;08-2021;Aug;8;2021;0,9985741376876831;-0,14258623123168945
937;2021-08-17;IBOXHY Index;327,2995910644531;08-2021;Aug;8;2021;1,000625729560852;0,06257295608520508
936;2021-08-16;IBOXHY Index;327,4862976074219;08-2021;Aug;8;2021;0,9994298815727234;-0,05701184272766113
935;2021-08-13;IBOXHY Index;327,4551086425781;08-2021;Aug;8;2021;1,000095248222351;0,009524822235107422
934;2021-08-12;IBOXHY Index;327,198486328125;08-2021;Aug;8;2021;1,0007842779159546;0,07842779159545898
933;2021-08-11;IBOXHY Index;327,04400634765625;08-2021;Aug;8;2021;1,0004723072052002;0,04723072052001953
932;2021-08-10;IBOXHY Index;327,30859375;08-2021;Aug;8;2021;0,9991916418075562;-0,08083581924438477
931;2021-08-09;IBOXHY Index;327,5906982421875;08-2021;Aug;8;2021;0,9991388320922852;-0,08611679077148438
930;2021-08-06;IBOXHY Index;327,8703918457031;08-2021;Aug;8;2021;0,9991469383239746;-0,08530616760253906
929;2021-08-05;IBOXHY Index;327,8898010253906;08-2021;Aug;8;2021;0,999940812587738;-0,005918741226196289
928;2021-08-04;IBOXHY Index;327,7738952636719;08-2021;Aug;8;2021;1,0003535747528076;0,03535747528076172
927;2021-08-03;IBOXHY Index;328,06689453125;08-2021;Aug;8;2021;0,9991068840026855;-0,08931159973144531
926;2021-08-02;IBOXHY Index;328,5603942871094;08-2021;Aug;8;2021;0,9984980225563049;-0,15019774436950684
925;2021-07-30;IBOXHY Index;328,45660400390625;07-2021;Jul;7;2021;1,0003160238265991;0,03160238265991211
924;2021-07-29;IBOXHY Index;328,44061279296875;07-2021;Jul;7;2021;1,0000486373901367;0,004863739013671875
923;2021-07-28;IBOXHY Index;328,1897888183594;07-2021;Jul;7;2021;1,00076425075531;0,07642507553100586
922;2021-07-27;IBOXHY Index;328,1615905761719;07-2021;Jul;7;2021;1,0000859498977661;0,008594989776611328
921;2021-07-26;IBOXHY Index;328,5559997558594;07-2021;Jul;7;2021;0,9987995624542236;-0,12004375457763672
