;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
143;2021-10-01;NORONHM BZ Equity;1,1745630502700806;10-2021;Oct;10;2021;;
142;2021-09-24;NORONHM BZ Equity;1,1766215562820435;09-2021;Sep;9;2021;0,9982504844665527;-0,17495155334472656
141;2021-09-17;NORONHM BZ Equity;1,1737829446792603;09-2021;Sep;9;2021;1,0024183988571167;0,24183988571166992
140;2021-09-10;NORONHM BZ Equity;1,1690292358398438;09-2021;Sep;9;2021;1,0040663480758667;0,4066348075866699
139;2021-09-03;NORONHM BZ Equity;1,1665159463882446;09-2021;Sep;9;2021;1,0021544694900513;0,21544694900512695
138;2021-08-27;NORONHM BZ Equity;1,1647659540176392;08-2021;Aug;8;2021;1,0015023946762085;0,1502394676208496
137;2021-08-20;NORONHM BZ Equity;1,16071617603302;08-2021;Aug;8;2021;1,0034890174865723;0,34890174865722656
136;2021-08-13;NORONHM BZ Equity;1,1592079401016235;08-2021;Aug;8;2021;1,0013010501861572;0,13010501861572266
135;2021-08-06;NORONHM BZ Equity;1,1597225666046143;08-2021;Aug;8;2021;0,9995562434196472;-0,04437565803527832
134;2021-07-30;NORONHM BZ Equity;1,1575839519500732;07-2021;Jul;7;2021;1,001847505569458;0,18475055694580078
133;2021-07-23;NORONHM BZ Equity;1,1668906211853027;07-2021;Jul;7;2021;0,9920243620872498;-0,7975637912750244
132;2021-07-16;NORONHM BZ Equity;1,1652816534042358;07-2021;Jul;7;2021;1,0013808012008667;0,13808012008666992
131;2021-07-09;NORONHM BZ Equity;1,164466142654419;07-2021;Jul;7;2021;1,0007003545761108;0,07003545761108398
130;2021-07-02;NORONHM BZ Equity;1,1697076559066772;07-2021;Jul;7;2021;0,9955189824104309;-0,4481017589569092
129;2021-06-25;NORONHM BZ Equity;1,1676607131958008;06-2021;Jun;6;2021;1,0017529726028442;0,17529726028442383
128;2021-06-18;NORONHM BZ Equity;1,1637206077575684;06-2021;Jun;6;2021;1,0033857822418213;0,3385782241821289
127;2021-06-11;NORONHM BZ Equity;1,1644344329833984;06-2021;Jun;6;2021;0,9993869662284851;-0,06130337715148926
126;2021-06-04;NORONHM BZ Equity;1,1680668592453003;06-2021;Jun;6;2021;0,9968902468681335;-0,3109753131866455
125;2021-05-28;NORONHM BZ Equity;1,1621036529541016;05-2021;May;5;2021;1,0051313638687134;0,5131363868713379
124;2021-05-21;NORONHM BZ Equity;1,156112551689148;05-2021;May;5;2021;1,005182147026062;0,5182147026062012
123;2021-05-14;NORONHM BZ Equity;1,1559797525405884;05-2021;May;5;2021;1,000114917755127;0,011491775512695312
122;2021-05-07;NORONHM BZ Equity;1,1620451211929321;05-2021;May;5;2021;0,994780421257019;-0,5219578742980957
121;2021-04-30;NORONHM BZ Equity;1,1583895683288574;04-2021;Apr;4;2021;1,0031557083129883;0,3155708312988281
120;2021-04-23;NORONHM BZ Equity;1,156393051147461;04-2021;Apr;4;2021;1,001726508140564;0,17265081405639648
119;2021-04-16;NORONHM BZ Equity;1,1547857522964478;04-2021;Apr;4;2021;1,001391887664795;0,1391887664794922
118;2021-04-09;NORONHM BZ Equity;1,150850534439087;04-2021;Apr;4;2021;1,0034193992614746;0,34193992614746094
117;2021-04-02;NORONHM BZ Equity;1,1452263593673706;04-2021;Apr;4;2021;1,004910945892334;0,49109458923339844
116;2021-03-26;NORONHM BZ Equity;1,1414121389389038;03-2021;Mar;3;2021;1,0033416748046875;0,33416748046875
115;2021-03-19;NORONHM BZ Equity;1,1422427892684937;03-2021;Mar;3;2021;0,9992727637290955;-0,0727236270904541
114;2021-03-12;NORONHM BZ Equity;1,1422812938690186;03-2021;Mar;3;2021;0,9999662637710571;-0,0033736228942871094
113;2021-03-05;NORONHM BZ Equity;1,14072585105896;03-2021;Mar;3;2021;1,0013635158538818;0,1363515853881836
112;2021-02-26;NORONHM BZ Equity;1,143933653831482;02-2021;Feb;2;2021;0,997195839881897;-0,28041601181030273
111;2021-02-19;NORONHM BZ Equity;1,1546432971954346;02-2021;Feb;2;2021;0,9907247424125671;-0,9275257587432861
110;2021-02-12;NORONHM BZ Equity;1,1535934209823608;02-2021;Feb;2;2021;1,0009100437164307;0,0910043716430664
109;2021-02-05;NORONHM BZ Equity;1,1529510021209717;02-2021;Feb;2;2021;1,0005571842193604;0,055718421936035156
108;2021-01-29;NORONHM BZ Equity;1,139227032661438;01-2021;Jan;1;2021;1,0120466947555542;1,20466947555542
107;2021-01-22;NORONHM BZ Equity;1,1470253467559814;01-2021;Jan;1;2021;0,9932012557983398;-0,6798744201660156
106;2021-01-15;NORONHM BZ Equity;1,1466832160949707;01-2021;Jan;1;2021;1,0002983808517456;0,029838085174560547
105;2021-01-08;NORONHM BZ Equity;1,1455918550491333;01-2021;Jan;1;2021;1,0009527206420898;0,09527206420898438
104;2021-01-01;NORONHM BZ Equity;1,143907904624939;01-2021;Jan;1;2021;1,0014721155166626;0,14721155166625977
103;2020-12-25;NORONHM BZ Equity;1,1403107643127441;12-2020;Dec;12;2020;1,0031545162200928;0,31545162200927734
102;2020-12-18;NORONHM BZ Equity;1,1413408517837524;12-2020;Dec;12;2020;0,999097466468811;-0,09025335311889648
101;2020-12-11;NORONHM BZ Equity;1,135926604270935;12-2020;Dec;12;2020;1,0047663450241089;0,47663450241088867
100;2020-12-04;NORONHM BZ Equity;1,1346813440322876;12-2020;Dec;12;2020;1,0010974407196045;0,10974407196044922
99;2020-11-27;NORONHM BZ Equity;1,1309146881103516;11-2020;Nov;11;2020;1,0033305883407593;0,33305883407592773
98;2020-11-20;NORONHM BZ Equity;1,1243118047714233;11-2020;Nov;11;2020;1,0058728456497192;0,5872845649719238
97;2020-11-13;NORONHM BZ Equity;1,1230812072753906;11-2020;Nov;11;2020;1,0010957717895508;0,10957717895507812
96;2020-11-06;NORONHM BZ Equity;1,126405119895935;11-2020;Nov;11;2020;0,99704909324646;-0,2950906753540039
95;2020-10-30;NORONHM BZ Equity;1,1108421087265015;10-2020;Oct;10;2020;1,0140100717544556;1,4010071754455566
94;2020-10-23;NORONHM BZ Equity;1,1178392171859741;10-2020;Oct;10;2020;0,9937404990196228;-0,6259500980377197
93;2020-10-16;NORONHM BZ Equity;1,1185276508331299;10-2020;Oct;10;2020;0,9993845224380493;-0,06154775619506836
92;2020-10-09;NORONHM BZ Equity;1,114874243736267;10-2020;Oct;10;2020;1,0032769441604614;0,3276944160461426
91;2020-10-02;NORONHM BZ Equity;1,1105492115020752;10-2020;Oct;10;2020;1,0038944482803345;0,38944482803344727
90;2020-09-25;NORONHM BZ Equity;1,1115760803222656;09-2020;Sep;9;2020;0,9990761876106262;-0,09238123893737793
89;2020-09-18;NORONHM BZ Equity;1,113783359527588;09-2020;Sep;9;2020;0,998018205165863;-0,1981794834136963
88;2020-09-11;NORONHM BZ Equity;1,1151076555252075;09-2020;Sep;9;2020;0,9988123774528503;-0,11876225471496582
87;2020-09-04;NORONHM BZ Equity;1,1212692260742188;09-2020;Sep;9;2020;0,9945048093795776;-0,5495190620422363
86;2020-08-28;NORONHM BZ Equity;1,121092677116394;08-2020;Aug;8;2020;1,0001574754714966;0,015747547149658203
85;2020-08-21;NORONHM BZ Equity;1,1215718984603882;08-2020;Aug;8;2020;0,9995726943016052;-0,04273056983947754
84;2020-08-14;NORONHM BZ Equity;1,1191198825836182;08-2020;Aug;8;2020;1,0021910667419434;0,21910667419433594
83;2020-08-07;NORONHM BZ Equity;1,1242103576660156;08-2020;Aug;8;2020;0,9954719543457031;-0,4528045654296875
82;2020-07-31;NORONHM BZ Equity;1,1213314533233643;07-2020;Jul;7;2020;1,0025674104690552;0,2567410469055176
81;2020-07-24;NORONHM BZ Equity;1,1159119606018066;07-2020;Jul;7;2020;1,0048565864562988;0,4856586456298828
80;2020-07-17;NORONHM BZ Equity;1,1133182048797607;07-2020;Jul;7;2020;1,002329707145691;0,2329707145690918
79;2020-07-10;NORONHM BZ Equity;1,1099847555160522;07-2020;Jul;7;2020;1,0030031204223633;0,3003120422363281
78;2020-07-03;NORONHM BZ Equity;1,1066524982452393;07-2020;Jul;7;2020;1,0030111074447632;0,30111074447631836
77;2020-06-26;NORONHM BZ Equity;1,1000436544418335;06-2020;Jun;6;2020;1,0060077905654907;0,6007790565490723
76;2020-06-19;NORONHM BZ Equity;1,100906491279602;06-2020;Jun;6;2020;0,9992162585258484;-0,07837414741516113
75;2020-06-12;NORONHM BZ Equity;1,095915675163269;06-2020;Jun;6;2020;1,004554033279419;0,45540332794189453
74;2020-06-05;NORONHM BZ Equity;1,095202088356018;06-2020;Jun;6;2020;1,0006515979766846;0,06515979766845703
