;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
67;2021-06-30;Riverview ALF;151,37745666503906;06-2021;Jun;6;2021;;
66;2021-05-31;Riverview ALF;148,31781005859375;05-2021;May;5;2021;1,0206290483474731;2,0629048347473145
65;2021-04-30;Riverview ALF;145,32000732421875;04-2021;Apr;4;2021;1,0206289291381836;2,0628929138183594
64;2021-03-31;Riverview ALF;145,22000122070312;03-2021;Mar;3;2021;1,0006886720657349;0,06886720657348633
63;2021-02-26;Riverview ALF;133,52999877929688;02-2021;Feb;2;2021;1,0875458717346191;8,754587173461914
62;2021-01-29;Riverview ALF;130,14999389648438;01-2021;Jan;1;2021;1,0259701013565063;2,5970101356506348
61;2020-12-31;Riverview ALF;125,55999755859375;12-2020;Dec;12;2020;1,0365562438964844;3,6556243896484375
60;2020-11-30;Riverview ALF;120,0199966430664;11-2020;Nov;11;2020;1,046159029006958;4,615902900695801
59;2020-10-30;Riverview ALF;118,30000305175781;10-2020;Oct;10;2020;1,0145392417907715;1,4539241790771484
58;2020-09-30;Riverview ALF;116,4800033569336;09-2020;Sep;9;2020;1,015625;1,5625
57;2020-08-31;Riverview ALF;115,20999908447266;08-2020;Aug;8;2020;1,0110234022140503;1,1023402214050293
56;2020-07-31;Riverview ALF;113,58999633789062;07-2020;Jul;7;2020;1,0142618417739868;1,4261841773986816
55;2020-06-30;Riverview ALF;111,91000366210938;06-2020;Jun;6;2020;1,0150120258331299;1,5012025833129883
54;2020-05-29;Riverview ALF;109,0199966430664;05-2020;May;5;2020;1,0265089273452759;2,650892734527588
53;2020-04-30;Riverview ALF;107,66000366210938;04-2020;Apr;4;2020;1,0126322507858276;1,2632250785827637
52;2020-03-31;Riverview ALF;107,5199966430664;03-2020;Mar;3;2020;1,0013021230697632;0,13021230697631836
51;2020-02-28;Riverview ALF;113,6500015258789;02-2020;Feb;2;2020;0,946062445640564;-5,3937554359436035
50;2020-01-31;Riverview ALF;112,51000213623047;01-2020;Jan;1;2020;1,0101324319839478;1,0132431983947754
49;2019-12-31;Riverview ALF;111,91000366210938;12-2019;Dec;12;2019;1,0053614377975464;0,5361437797546387
48;2019-11-29;Riverview ALF;111,31999969482422;11-2019;Nov;11;2019;1,0053000450134277;0,5300045013427734
47;2019-10-31;Riverview ALF;110,18000030517578;10-2019;Oct;10;2019;1,0103466510772705;1,0346651077270508
46;2019-09-30;Riverview ALF;109,58999633789062;09-2019;Sep;9;2019;1,0053837299346924;0,5383729934692383
45;2019-08-30;Riverview ALF;108,66999816894531;08-2019;Aug;8;2019;1,0084660053253174;0,8466005325317383
44;2019-07-31;Riverview ALF;107,93000030517578;07-2019;Jul;7;2019;1,0068563222885132;0,6856322288513184
43;2019-06-28;Riverview ALF;106,1500015258789;06-2019;Jun;6;2019;1,0167686939239502;1,6768693923950195
42;2019-05-31;Riverview ALF;105,37000274658203;05-2019;May;5;2019;1,0074024200439453;0,7402420043945312
41;2019-04-30;Riverview ALF;103,44000244140625;04-2019;Apr;4;2019;1,01865816116333;1,8658161163330078
40;2019-03-29;Riverview ALF;102,94999694824219;03-2019;Mar;3;2019;1,004759669303894;0,4759669303894043
39;2019-02-28;Riverview ALF;102,33999633789062;02-2019;Feb;2;2019;1,0059605836868286;0,5960583686828613
38;2019-01-31;Riverview ALF;101,83000183105469;01-2019;Jan;1;2019;1,005008339881897;0,5008339881896973
37;2018-12-31;Riverview ALF;101,29000091552734;12-2018;Dec;12;2018;1,00533127784729;0,5331277847290039
36;2018-11-30;Riverview ALF;100,7300033569336;11-2018;Nov;11;2018;1,0055594444274902;0,5559444427490234
35;2018-10-31;Riverview ALF;100,12000274658203;10-2018;Oct;10;2018;1,0060926675796509;0,6092667579650879
34;2018-09-28;Riverview ALF;100,0;09-2018;Sep;9;2018;1,0012000799179077;0,12000799179077148
33;2021-06-30;Pagaya Opportunity Fund;137,73895263671875;06-2021;Jun;6;2021;;
32;2021-05-31;Pagaya Opportunity Fund;136,84942626953125;05-2021;May;5;2021;1,006500005722046;0,6500005722045898
31;2021-04-30;Pagaya Opportunity Fund;136,08734130859375;04-2021;Apr;4;2021;1,0055999755859375;0,55999755859375
30;2021-03-31;Pagaya Opportunity Fund;135,32948303222656;03-2021;Mar;3;2021;1,005600094795227;0,5600094795227051
29;2021-02-26;Pagaya Opportunity Fund;134,56248474121094;02-2021;Feb;2;2021;1,0056999921798706;0,5699992179870605
28;2021-01-29;Pagaya Opportunity Fund;133,54751586914062;01-2021;Jan;1;2021;1,0076000690460205;0,7600069046020508
27;2020-12-31;Pagaya Opportunity Fund;132,4481964111328;12-2020;Dec;12;2020;1,0082999467849731;0,8299946784973145
26;2020-11-30;Pagaya Opportunity Fund;131,41006469726562;11-2020;Nov;11;2020;1,0078999996185303;0,7899999618530273
25;2020-10-30;Pagaya Opportunity Fund;130,38006591796875;10-2020;Oct;10;2020;1,0078999996185303;0,7899999618530273
24;2020-09-30;Pagaya Opportunity Fund;129,5123291015625;09-2020;Sep;9;2020;1,006700038909912;0,6700038909912109
23;2020-08-31;Pagaya Opportunity Fund;128,71429443359375;08-2020;Aug;8;2020;1,0062000751495361;0,6200075149536133
22;2020-07-31;Pagaya Opportunity Fund;126,96221923828125;07-2020;Jul;7;2020;1,013800024986267;1,380002498626709
21;2020-06-30;Pagaya Opportunity Fund;125,96707916259766;06-2020;Jun;6;2020;1,0078999996185303;0,7899999618530273
20;2020-05-29;Pagaya Opportunity Fund;123,30371856689453;05-2020;May;5;2020;1,0216000080108643;2,160000801086426
19;2020-04-30;Pagaya Opportunity Fund;121,82958221435547;04-2020;Apr;4;2020;1,0120999813079834;1,2099981307983398
18;2020-03-31;Pagaya Opportunity Fund;118,62666320800781;03-2020;Mar;3;2020;1,0269999504089355;2,6999950408935547
17;2020-02-28;Pagaya Opportunity Fund;117,84886169433594;02-2020;Feb;2;2020;1,006600022315979;0,6600022315979004
16;2020-01-31;Pagaya Opportunity Fund;117,07615661621094;01-2020;Jan;1;2020;1,006600022315979;0,6600022315979004
15;2019-12-31;Pagaya Opportunity Fund;116,29696655273438;12-2019;Dec;12;2019;1,006700038909912;0,6700038909912109
14;2019-11-29;Pagaya Opportunity Fund;115,56888580322266;11-2019;Nov;11;2019;1,0062999725341797;0,6299972534179688
13;2019-10-31;Pagaya Opportunity Fund;114,8453598022461;10-2019;Oct;10;2019;1,0062999725341797;0,6299972534179688
12;2019-09-30;Pagaya Opportunity Fund;114,0130615234375;09-2019;Sep;9;2019;1,0073000192642212;0,7300019264221191
11;2019-08-30;Pagaya Opportunity Fund;113,40069580078125;08-2019;Aug;8;2019;1,0054000616073608;0,540006160736084
10;2019-07-31;Pagaya Opportunity Fund;112,67955017089844;07-2019;Jul;7;2019;1,0063999891281128;0,6399989128112793
9;2019-06-28;Pagaya Opportunity Fund;111,97411346435547;06-2019;Jun;6;2019;1,0062999725341797;0,6299972534179688
8;2019-05-31;Pagaya Opportunity Fund;111,3727035522461;05-2019;May;5;2019;1,0053999423980713;0,5399942398071289
7;2019-04-30;Pagaya Opportunity Fund;110,52168273925781;04-2019;Apr;4;2019;1,0077000856399536;0,7700085639953613
6;2019-03-29;Pagaya Opportunity Fund;109,80792999267578;03-2019;Mar;3;2019;1,006500005722046;0,6500005722045898
5;2019-02-28;Pagaya Opportunity Fund;109,08795166015625;02-2019;Feb;2;2019;1,006600022315979;0,6600022315979004
4;2019-01-31;Pagaya Opportunity Fund;108,42655181884766;01-2019;Jan;1;2019;1,0060999393463135;0,6099939346313477
3;2018-12-31;Pagaya Opportunity Fund;107,66214752197266;12-2018;Dec;12;2018;1,007099986076355;0,709998607635498
2;2018-11-30;Pagaya Opportunity Fund;106,9987564086914;11-2018;Nov;11;2018;1,0061999559402466;0,6199955940246582
1;2018-10-31;Pagaya Opportunity Fund;106,17062377929688;10-2018;Oct;10;2018;1,0077999830245972;0,7799983024597168
0;2018-09-28;Pagaya Opportunity Fund;105,47449493408203;09-2018;Sep;9;2018;1,006600022315979;0,6600022315979004
