;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
1725;2021-08-11;paiva;4,483245849609375;08-2021;Aug;8;2021;;
1724;2021-08-10;paiva;4,501607894897461;08-2021;Aug;8;2021;0,9959210157394409;-0,4078984260559082
1723;2021-08-09;paiva;4,527160167694092;08-2021;Aug;8;2021;0,9943557977676392;-0,564420223236084
1722;2021-08-06;paiva;4,514663219451904;08-2021;Aug;8;2021;1,0027680397033691;0,27680397033691406
1721;2021-08-05;paiva;4,494986057281494;08-2021;Aug;8;2021;1,0043776035308838;0,4377603530883789
1720;2021-08-04;paiva;4,487382888793945;08-2021;Aug;8;2021;1,0016943216323853;0,1694321632385254
1719;2021-08-03;paiva;4,51718807220459;08-2021;Aug;8;2021;0,993401825428009;-0,6598174571990967
1718;2021-08-02;paiva;4,506967067718506;08-2021;Aug;8;2021;1,002267837524414;0,22678375244140625
1717;2021-07-30;paiva;4,474279880523682;07-2021;Jul;7;2021;1,00730562210083;0,7305622100830078
1716;2021-07-29;paiva;4,59258508682251;07-2021;Jul;7;2021;0,9742399454116821;-2,576005458831787
1715;2021-07-28;paiva;4,589128017425537;07-2021;Jul;7;2021;1,0007532835006714;0,07532835006713867
1714;2021-07-27;paiva;4,568824768066406;07-2021;Jul;7;2021;1,004443883895874;0,44438838958740234
1713;2021-07-26;paiva;4,628472805023193;07-2021;Jul;7;2021;0,987112820148468;-1,2887179851531982
1712;2021-07-23;paiva;4,655227184295654;07-2021;Jul;7;2021;0,9942528009414673;-0,5747199058532715
1711;2021-07-22;paiva;4,676054954528809;07-2021;Jul;7;2021;0,9955458641052246;-0,44541358947753906
1710;2021-07-21;paiva;4,633790969848633;07-2021;Jul;7;2021;1,0091208219528198;0,9120821952819824
1709;2021-07-20;paiva;4,626107215881348;07-2021;Jul;7;2021;1,001660943031311;0,16609430313110352
1708;2021-07-19;paiva;4,617505073547363;07-2021;Jul;7;2021;1,00186288356781;0,18628835678100586
1707;2021-07-16;paiva;4,6695709228515625;07-2021;Jul;7;2021;0,9888499975204468;-1,1150002479553223
1706;2021-07-15;paiva;4,694948196411133;07-2021;Jul;7;2021;0,9945947527885437;-0,5405247211456299
1705;2021-07-14;paiva;4,714080810546875;07-2021;Jul;7;2021;0,9959414005279541;-0,40585994720458984
1704;2021-07-13;paiva;4,708931922912598;07-2021;Jul;7;2021;1,0010933876037598;0,10933876037597656
1703;2021-07-12;paiva;4,680476188659668;07-2021;Jul;7;2021;1,0060796737670898;0,6079673767089844
1702;2021-07-09;paiva;4,62496280670166;07-2021;Jul;7;2021;1,012002944946289;1,2002944946289062
1701;2021-07-08;paiva;4,620974063873291;07-2021;Jul;7;2021;1,0008631944656372;0,0863194465637207
1700;2021-07-07;paiva;4,66845703125;07-2021;Jul;7;2021;0,9898290038108826;-1,0170996189117432
1699;2021-07-06;paiva;4,6058878898620605;07-2021;Jul;7;2021;1,0135846138000488;1,3584613800048828
